iter	Passed	Remaining
616	141925	88099
617	142160	87872
618	142410	87654
619	142646	87428
620	142889	87206
621	143125	86979
622	143355	86749
623	143589	86521
624	143844	86306
625	144111	86098
626	144332	85862
627	144558	85630
628	144813	85414
629	145052	85189
630	145284	84960
631	145502	84723
632	145728	84490
633	145971	84267
634	146203	84038
635	146440	83812
636	146677	83585
637	146907	83354
638	147157	83135
639	147389	82906
640	147627	82680
641	147846	82444
642	148067	82208
643	148310	81985
644	148563	81767
645	148799	81540
646	149013	81301
647	149255	81076
648	149473	80840
649	149711	80613
650	149960	80393
651	150183	80159
652	150411	79927
653	150627	79689
654	150850	79455
655	151090	79230
656	151328	79004
657	151551	78770
658	151773	78535
659	152019	78313
660	152250	78082
661	152472	77848
662	152710	77622
663	152936	77389
664	153178	77165
665	153385	76923
666	153621	76695
667	153866	76472
668	154124	76255
669	154366	76031
670	154604	75804
671	154839	75576
672	155089	75355
673	155344	75136
674	155599	74918
675	155835	74690
676	156079	74466
677	156302	74232
678	156553	74011
679	156782	73779
680	157019	73552
681	157242	73318
682	157458	73080
683	157688	72850
684	157922	72621
685	158135	72382
686	158357	72148
687	158585	71916
688	158828	71691
689	159054	71459
690	159282	71227
691	159507	70994
692	159748	70768
693	159972	70535
694	160196	70301
695	160404	70061
696	160643	69834
697	160873	69604
698	161094	69369
699	161312	69133
700	161534	68899
701	161768	68670
702	161993	68438
703	162219	68206
704	162456	67978
705	162709	67757
706	162957	67534
707	163195	67306
708	163425	67075
709	163640	66839
710	163871	66608
711	164108	66381
712	164357	66157
713	164600	65932
714	164842	65706
715	165080	65478
716	165312	65248
717	165526	65011
718	165770	64786
719	166021	64564
720	166259	64336
721	166486	64104
722	166695	63865
723	166926	63635
724	167171	63409
725	167407	63181
726	167656	62957
727	167890	62728
728	168120	62497
729	168347	62265
730	168568	62031
731	168805	61803
732	168986	61554
733	169230	61328
734	169470	61101
735	169683	60864
736	169889	60625
737	170124	60396
738	170348	60163
739	170560	59926
740	170780	59692
741	171021	59465
742	171259	59237
743	171495	59009
744	171735	58781
745	171977	58555
746	172221	58329
747	172396	58080
748	172635	57852
749	172883	57627
750	173118	57398
751	173373	57176
752	173617	56950
753	173845	56718
754	174069	56486
755	174306	56257
756	174533	56025
757	174771	55797
758	175000	55566
759	175248	55341
760	175490	55114
761	175724	54885
762	175976	54660
763	176210	54431
764	176447	54202
765	176668	53969
766	176894	53737
767	177146	53513
768	177372	53280
769	177595	53047
770	177826	52817
771	178056	52586
772	178281	52354
773	178458	52108
774	178671	51872
775	178915	51645
776	179133	51411
777	179345	51175
778	179577	50945
779	179794	50711
780	180016	50478
781	180248	50248
782	180471	50015
783	180707	49786
784	180948	49559
785	181193	49332
786	181432	49104
787	181648	48869
788	181901	48645
789	182123	48412
790	182368	48185
791	182609	47958
792	182831	47725
793	183049	47491
794	183260	47255
795	183495	47026
796	183734	46798
797	183959	46566
798	184189	46335
799	184426	46106
800	184675	45880
801	184929	45655
802	185158	45424
803	185386	45193
804	185608	44961
805	185830	44728
806	186047	44494
807	186291	44267
808	186516	44035
809	186741	43803
810	186961	43570
811	187185	43338
812	187436	43112
813	187688	42886
814	187906	42653
815	188156	42427
816	188375	42194
817	188623	41967
818	188861	41738
819	189081	41505
820	189331	41279
821	189506	41036
822	189757	40810
823	189988	40580
824	190200	40345
825	190440	40117
826	190701	39892
827	190962	39668
828	191198	39439
829	191461	39215
830	191700	38985
831	191940	38757
832	192198	38532
833	192443	38304
834	192673	38073
835	192904	37842
836	193145	37613
837	193420	37391
838	193679	37166
839	193930	36939
840	194189	36713
841	194433	36485
842	194674	36256
843	194906	36025
844	195143	35795
845	195327	35556
846	195584	35329
847	195857	35106
848	196097	34877
849	196341	34648
850	196606	34423
851	196871	34198
852	197124	33971
853	197380	33744
854	197630	33516
855	197884	33288
856	198165	33066
857	198432	32840
858	198698	32615
859	198962	32389
860	199221	32162
861	199510	31940
862	199778	31714
863	200061	31491
864	200334	31266
865	200616	31042
866	200869	30813
867	201153	30590
868	201434	30365
869	201701	30139
870	201946	29909
871	202221	29683
872	202492	29457
873	202763	29231
874	203026	29003
875	203313	28779
876	203587	28553
877	203852	28325
878	204125	28099
879	204380	27870
880	204599	27635
881	204834	27404
882	205051	27169
883	205306	26940
884	205555	26710
885	205800	26479
886	206039	26248
887	206288	26018
888	206532	25787
889	206778	25556
890	207005	25323
891	207219	25089
892	207454	24857
893	207688	24625
894	207914	24392
895	208132	24158
896	208358	23925
897	208581	23691
898	208815	23459
899	209056	23228
900	209298	22997
901	209536	22765
902	209768	22533
903	209997	22300
904	210237	22069
905	210457	21835
906	210676	21601
907	210897	21368
908	211123	21135
909	211371	20904
910	211601	20672
911	211827	20439
912	212087	20209
913	212300	19975
914	212513	19741
915	212720	19507
916	212964	19275
917	213186	19042
918	213417	18810
919	213638	18577
920	213864	18344
921	214080	18110
922	214326	17879
923	214549	17646
924	214771	17413
925	215002	17181
926	215250	16950
927	215484	16718
928	215732	16487
929	215956	16254
930	216185	16022
931	216395	15788
932	216621	15555
933	216876	15325
934	217123	15094
935	217352	14861
936	217569	14628
937	217795	14395
938	218009	14162
939	218240	13930
940	218461	13697
941	218687	13464
942	218919	13232
943	219142	12999
944	219367	12767
945	219594	12535
946	219812	12302
947	220044	12069
948	220276	11837
949	220516	11606
950	220743	11373
951	220960	11140
952	221203	10909
953	221440	10677
954	221673	10445
955	221911	10213
956	222121	9980
957	222343	9747
958	222559	9515
959	222804	9283
960	223054	9052
961	223264	8819
962	223481	8586
963	223703	8354
964	223939	8122
965	224180	7890
966	224412	7658
967	224644	7426
968	224873	7194
969	225092	6961
970	225318	6729
971	225551	6497
972	225756	6264
973	225988	6032
974	226218	5800
975	226448	5568
976	226686	5336
977	226910	5104
978	227145	4872
979	227363	4640
980	227573	4407
981	227819	4175
982	228029	3943
983	228280	3711
984	228521	3480
985	228747	3247
986	228982	3015
987	229186	2783
988	229406	2551
989	229647	2319
990	229877	2087
991	230098	1855
992	230318	1623
993	230564	1391
994	230806	1159
995	231051	927
996	231301	695
997	231527	463
998	231759	231
999	231979	0
